,number,value,datetime_start,datetime_complete,duration,params_dropout,params_g_lr_ratio,params_g_steps,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_nhead,params_num_layers,state
71,71,0.369901547116737,2025-12-12 06:55:54.879776,2025-12-12 06:56:53.575662,0 days 00:00:58.695886,0.11841641105900394,0.6141413124009656,2,128,2,0.1076684677814242,0.943816710705465,0.00046136393704255803,2,4,PRUNED
72,72,0.35864978902953587,2025-12-12 06:56:53.581552,2025-12-12 06:57:22.961444,0 days 00:00:29.379892,0.10020626400782401,0.7870776546714849,2,128,2,0.1126764147681979,0.9744796895323916,0.0004736061200485388,2,4,PRUNED
73,73,0.3909985935302391,2025-12-12 06:57:22.967112,2025-12-12 06:58:21.674987,0 days 00:00:58.707875,0.10927058140053517,0.6475130142873877,2,128,2,0.11957251089449816,0.9670766777519934,0.0004898397344244073,2,4,PRUNED
74,74,0.350210970464135,2025-12-12 06:58:21.681213,2025-12-12 06:58:51.055632,0 days 00:00:29.374419,0.11371431941365165,0.8214137851201102,2,128,2,0.10407105163909573,0.9798645291035413,0.0004116350238977715,2,4,PRUNED
75,75,0.340365682137834,2025-12-12 06:58:51.062019,2025-12-12 06:59:20.441041,0 days 00:00:29.379022,0.12597817407219378,0.5488011061506795,2,128,2,0.08595394281093711,0.9871385939411202,0.0004350650759600248,2,4,PRUNED
76,76,0.41350210970464135,2025-12-12 06:59:20.447095,2025-12-12 07:00:19.169104,0 days 00:00:58.722009,0.14442658235407121,0.590748334913888,2,128,2,0.09639523112434147,0.9625595427917237,0.00038551082288526377,2,4,PRUNED
77,77,0.41068917018284107,2025-12-12 07:00:19.174463,2025-12-12 07:01:17.886197,0 days 00:00:58.711734,0.15309474952913366,0.7234420985421188,2,128,2,0.09207045388678853,0.9710552433312342,0.0004591881328036799,2,4,PRUNED
78,78,0.3952180028129395,2025-12-12 07:01:17.891938,2025-12-12 07:02:16.575508,0 days 00:00:58.683570,0.10604860836954119,0.6935695557165502,2,128,2,0.11412143892466005,0.9564604110669042,0.00040138917730291664,2,4,PRUNED
79,79,0.3291139240506329,2025-12-12 07:02:16.581207,2025-12-12 07:02:45.956032,0 days 00:00:29.374825,0.1344415526822602,0.7597646019947281,2,128,2,0.13025458863456255,0.9784344987233735,0.0004936188241019069,2,4,PRUNED
80,80,0.3558368495077356,2025-12-12 07:02:45.962171,2025-12-12 07:03:15.337417,0 days 00:00:29.375246,0.12268855038330595,0.9714185333571408,2,128,2,0.10274226303552327,0.9864078936239361,0.0003532183878107355,2,4,PRUNED
81,81,0.3558368495077356,2025-12-12 07:03:15.343719,2025-12-12 07:03:44.721444,0 days 00:00:29.377725,0.11287605446467833,0.6309573180458449,2,128,2,0.07736267557231337,0.9954242271908452,0.0004367095544438844,2,4,PRUNED
82,82,0.34739803094233473,2025-12-12 07:03:44.727505,2025-12-12 07:04:43.440616,0 days 00:00:58.713111,0.1433344198136492,0.5882204982474601,2,128,2,0.09620839697547642,0.9608695720878018,0.0003822126830800364,2,4,PRUNED
83,83,0.4120956399437412,2025-12-12 07:04:43.447105,2025-12-12 07:05:42.145717,0 days 00:00:58.698612,0.1291356495196839,0.5252524402814558,2,128,2,0.08381645619456764,0.9731023956611347,0.00040914003307495017,2,4,PRUNED
84,84,0.35161744022503516,2025-12-12 07:05:42.151636,2025-12-12 07:06:11.532122,0 days 00:00:29.380486,0.14671536585356662,0.5742495791917588,2,128,2,0.10967002357946498,0.9636860986808865,0.0004639063543193578,2,4,PRUNED
85,85,0.36427566807313644,2025-12-12 07:06:11.538506,2025-12-12 07:06:40.908981,0 days 00:00:29.370475,0.13905348926685263,0.6602071163559479,2,128,2,0.09442454411055032,0.952246419617616,0.00036861853480263005,2,4,PRUNED
86,86,0.3488045007032349,2025-12-12 07:06:40.915345,2025-12-12 07:07:10.291766,0 days 00:00:29.376421,0.11736985335773575,0.49762679125150255,2,128,2,0.08715491027827668,0.9679807774334929,0.0004974856046230301,2,4,PRUNED
87,87,0.4345991561181435,2025-12-12 07:07:10.298674,2025-12-12 07:10:35.617311,0 days 00:03:25.318637,0.10263758473396062,0.5919008648848949,2,128,2,0.07219728445333272,0.9770475735351645,0.00032287434109350496,2,4,PRUNED
88,88,0.4022503516174402,2025-12-12 07:10:35.623521,2025-12-12 07:11:34.346934,0 days 00:00:58.723413,0.10368709832947377,0.5445178591564388,2,128,2,0.11939692150962886,0.9775262792710996,0.00031841730985986697,2,4,PRUNED
89,89,0.35864978902953587,2025-12-12 07:11:34.353330,2025-12-12 07:11:57.267595,0 days 00:00:22.914265,0.1093592787441023,0.678421264203275,2,128,2,0.07309146966447588,0.9991674324785409,0.00044044120421010734,2,3,PRUNED
90,90,0.4092827004219409,2025-12-12 07:11:57.273487,2025-12-12 07:12:55.970680,0 days 00:00:58.697193,0.11486314002679965,0.6114976877496704,2,128,2,0.10636769422376545,0.9726593194685549,0.0003456754795110412,2,4,PRUNED
91,91,0.39381153305203936,2025-12-12 07:12:55.976495,2025-12-12 07:13:54.690291,0 days 00:00:58.713796,0.10229864421403935,0.4691429705058786,2,128,2,0.06539164794690891,0.9848555358541018,0.00027682202639519536,2,4,PRUNED
92,92,0.41068917018284107,2025-12-12 07:13:54.696099,2025-12-12 07:14:53.407186,0 days 00:00:58.711087,0.12646010609597944,0.5980723940442295,2,128,2,0.09783451917069687,0.966218440565294,0.00039467888633822935,2,4,PRUNED
93,93,0.360056258790436,2025-12-12 07:14:53.412704,2025-12-12 07:15:22.790535,0 days 00:00:29.377831,0.12272519180308951,0.6357278019960416,2,128,2,0.09005578893741613,0.9574321400943168,0.00041498782052411145,2,4,PRUNED
94,94,0.36146272855133615,2025-12-12 07:15:22.796104,2025-12-12 07:15:52.172860,0 days 00:00:29.376756,0.13415851389763295,0.5691905716464832,2,128,2,0.10059032411633106,0.9700405398725811,0.00047073780633269516,2,4,PRUNED
95,95,0.35724331926863573,2025-12-12 07:15:52.179260,2025-12-12 07:16:21.558992,0 days 00:00:29.379732,0.10919876975519487,0.6677731414506353,2,128,2,0.10974251231282334,0.9627041084585494,0.0004270651398458004,2,4,PRUNED
96,96,0.3530239099859353,2025-12-12 07:16:21.565326,2025-12-12 07:16:50.934582,0 days 00:00:29.369256,0.11986180023566234,0.5961932189259029,2,128,2,0.07753198803364614,0.9341707778014318,0.0003826977126101241,2,4,PRUNED
97,97,0.39943741209563993,2025-12-12 07:16:50.940334,2025-12-12 07:17:49.662277,0 days 00:00:58.721943,0.10003146257347736,0.7119732588425578,2,128,2,0.0934576370740845,0.9790312323334558,0.00045019166910008644,2,4,PRUNED
98,98,0.35864978902953587,2025-12-12 07:17:49.668127,2025-12-12 07:18:12.583147,0 days 00:00:22.915020,0.1309235841505748,0.7439838582444076,2,128,2,0.11210238683149361,0.9901761122380851,0.0003708266893444812,2,3,PRUNED
99,99,0.40646976090014064,2025-12-12 07:18:12.588748,2025-12-12 07:19:11.276018,0 days 00:00:58.687270,0.11071631211140597,0.8317018072041052,2,128,2,0.0848232706562572,0.9544065992432469,0.00047613557521743296,2,4,PRUNED
100,100,0.4078762306610408,2025-12-12 07:19:11.281622,2025-12-12 07:20:09.982324,0 days 00:00:58.700702,0.1411113380809499,0.5322739954996127,2,128,2,0.14234811547273848,0.9681234124113979,0.0004978358252333277,2,4,PRUNED
